Found 234 mutants to test
ok       Unmutated baseline in 7s build + 2s test
 INFO Auto-set test timeout to 20s
MISSED   crates/glyim-typeck/src/typeck/mod.rs:69:9: replace TypeChecker::register_visibility with () in 6s build + 5s test
MISSED   crates/glyim-typeck/src/typeck/mod.rs:81:17: delete match arm glyim_hir::item::HirItem::Impl(imp) in TypeChecker::check in 2s build + 3s test
MISSED   crates/glyim-typeck/src/typeck/mod.rs:101:9: replace TypeChecker::extract_option_inner -> Option<HirType> with None in 1s build + 2s test
MISSED   crates/glyim-typeck/src/typeck/mod.rs:102:13: delete match arm HirType::Option(inner) in TypeChecker::extract_option_inner in 2s build + 6s test
MISSED   crates/glyim-typeck/src/typeck/mod.rs:103:45: replace match guard args.len() == 1 with true in TypeChecker::extract_option_inner in 2s build + 6s test
MISSED   crates/glyim-typeck/src/typeck/mod.rs:103:45: replace match guard args.len() == 1 with false in TypeChecker::extract_option_inner in 1s build + 6s test
MISSED   crates/glyim-typeck/src/typeck/mod.rs:103:56: replace == with != in TypeChecker::extract_option_inner in 1s build + 6s test
MISSED   crates/glyim-typeck/src/typeck/mod.rs:105:29: replace == with != in TypeChecker::extract_option_inner in 1s build + 6s test
MISSED   crates/glyim-typeck/src/typeck/mod.rs:116:9: replace TypeChecker::extract_result_inner -> Option<(HirType, HirType)> with None in 1s build + 6s test
MISSED   crates/glyim-typeck/src/typeck/mod.rs:117:13: delete match arm HirType::Result(ok, err) in TypeChecker::extract_result_inner in 1s build + 7s test
MISSED   crates/glyim-typeck/src/typeck/mod.rs:118:45: replace match guard args.len() == 2 with true in TypeChecker::extract_result_inner in 1s build + 7s test
MISSED   crates/glyim-typeck/src/typeck/mod.rs:118:45: replace match guard args.len() == 2 with false in TypeChecker::extract_result_inner in 1s build + 6s test
MISSED   crates/glyim-typeck/src/typeck/mod.rs:118:56: replace == with != in TypeChecker::extract_result_inner in 1s build + 6s test
MISSED   crates/glyim-typeck/src/typeck/mod.rs:120:29: replace == with != in TypeChecker::extract_result_inner in 1s build + 7s test
MISSED   crates/glyim-typeck/src/typeck/mod.rs:131:9: replace TypeChecker::bind_match_pattern with () in 1s build + 7s test
MISSED   crates/glyim-typeck/src/typeck/mod.rs:149:72: replace == with != in TypeChecker::bind_match_pattern in 1s build + 7s test
MISSED   crates/glyim-typeck/src/typeck/mod.rs:171:21: delete match arm HirType::Named(enum_name) | HirType::Generic(enum_name, _) in TypeChecker::bind_match_pattern in 1s build + 7s test
MISSED   crates/glyim-typeck/src/typeck/mod.rs:174:70: replace == with != in TypeChecker::bind_match_pattern in 1s build + 6s test
MISSED   crates/glyim-typeck/src/typeck/mod.rs:228:9: replace TypeChecker::get_expr_type -> Option<&HirType> with None in 1s build + 7s test
MISSED   crates/glyim-typeck/src/typeck/error.rs:45:9: replace <impl Diagnostic for TypeError>::severity -> Option<miette::Severity> with None in 1s build + 6s test
MISSED   crates/glyim-typeck/src/typeck/error.rs:45:9: replace <impl Diagnostic for TypeError>::severity -> Option<miette::Severity> with Some(Default::default()) in 1s build + 6s test
MISSED   crates/glyim-typeck/src/typeck/error.rs:49:9: replace <impl Diagnostic for TypeError>::help -> Option<Box<dyn std::fmt::Display +'a>> with None in 1s build + 6s test
MISSED   crates/glyim-typeck/src/typeck/error.rs:70:16: delete ! in <impl Diagnostic for TypeError>::help in 1s build + 5s test
MISSED   crates/glyim-typeck/src/typeck/expr.rs:130:66: replace == with != in TypeChecker::infer_expr in 1s build + 3s test
MISSED   crates/glyim-typeck/src/typeck/expr.rs:182:21: delete match arm HirType::RawPtr(inner) in TypeChecker::infer_expr in 2s build + 7s test
MISSED   crates/glyim-typeck/src/typeck/expr.rs:133:70: replace == with != in TypeChecker::infer_expr in 2s build + 8s test
MISSED   crates/glyim-typeck/src/typeck/expr.rs:215:59: replace match guard !type_args.is_empty() with true in TypeChecker::infer_expr in 1s build + 7s test
MISSED   crates/glyim-typeck/src/typeck/expr.rs:215:59: replace match guard !type_args.is_empty() with false in TypeChecker::infer_expr in 1s build + 6s test
MISSED   crates/glyim-typeck/src/typeck/expr.rs:215:59: delete ! in TypeChecker::infer_expr in 1s build + 7s test
MISSED   crates/glyim-typeck/src/typeck/expr.rs:240:72: replace == with != in TypeChecker::infer_expr in 1s build + 7s test
MISSED   crates/glyim-typeck/src/typeck/expr.rs:254:48: replace != with == in TypeChecker::infer_expr in 1s build + 7s test
MISSED   crates/glyim-typeck/src/typeck/expr.rs:255:48: replace != with == in TypeChecker::infer_expr in 1s build + 6s test
MISSED   crates/glyim-typeck/src/typeck/expr.rs:266:32: delete ! in TypeChecker::infer_expr in 1s build + 4s test
MISSED   crates/glyim-typeck/src/typeck/expr.rs:309:21: replace && with || in TypeChecker::check_struct_lit in 2s build + 5s test
MISSED   crates/glyim-typeck/src/typeck/expr.rs:308:20: delete ! in TypeChecker::check_struct_lit in 2s build + 7s test
MISSED   crates/glyim-typeck/src/typeck/expr.rs:309:41: replace == with != in TypeChecker::check_struct_lit in 2s build + 7s test
MISSED   crates/glyim-typeck/src/typeck/expr.rs:328:58: replace match guard info.type_params.contains(v_sym) with true in TypeChecker::check_struct_lit in 1s build + 6s test
MISSED   crates/glyim-typeck/src/typeck/expr.rs:328:58: replace match guard info.type_params.contains(v_sym) with false in TypeChecker::check_struct_lit in 1s build + 7s test
MISSED   crates/glyim-typeck/src/typeck/expr.rs:352:13: delete match arm HirType::Tuple(elems) in TypeChecker::check_field_access in 1s build + 6s test
MISSED   crates/glyim-typeck/src/typeck/expr.rs:388:20: replace < with == in TypeChecker::check_tuple_field_access in 2s build + 6s test
MISSED   crates/glyim-typeck/src/typeck/expr.rs:388:20: replace < with > in TypeChecker::check_tuple_field_access in 2s build + 7s test
